==10627== NVPROF is profiling process 10627, command: python -m graphsage.model --prof-backprop
==10627== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==10627== Profiling application: python -m graphsage.model --prof-backprop
==10627== Profiling result:
==10627== Metric result:
Invocations                               Metric Name                                         Metric Description         Min         Max         Avg
Device "GeForce GTX 1070 Ti (0)"
    Kernel: sgemm_32x32x32_TN_vec
          9                      local_store_requests   Total number of local store requests from Multiprocessor           0           0           0
          9                           l2_tex_hit_rate                                          L2 Cache Hit Rate      79.55%      80.85%      80.19%
          9                  l2_tex_read_transactions                            L2 Transactions (Texture Reads)     1311914     1418871     1370180
          9                 l2_tex_write_transactions                           L2 Transactions (Texture Writes)        9024        9024        9024
          9                  shared_load_transactions                                   Shared Load Transactions      671744      720896      699050
          9                 shared_store_transactions                                  Shared Store Transactions      340992      365568      354645
          9                        tex_cache_hit_rate                                     Unified Cache Hit Rate      79.08%      79.52%      79.28%
          9                    tex_cache_transactions                                 Unified Cache Transactions     1283584     1392128     1340757
          9                    dram_read_transactions                            Device Memory Read Transactions      254020      299272      273123
          9                   dram_write_transactions                           Device Memory Write Transactions       30144       33814       31544
    Kernel: void at::native::_GLOBAL__N__54_tmpxft_0006f258_00000000_12_SoftMax_compute_70_cpp1_ii_826a4626::cunn_SoftMaxBackward<int=2, float, float, at::native::_GLOBAL__N__54_tmpxft_0006f258_00000000_12_SoftMax_compute_70_cpp1_ii_826a4626::LogSoftMaxBackwardEpilogue>(float*, float, float, int)
         10                             flop_count_dp                Floating Point Operations(Double Precision)           0           0           0
         10                             flop_count_sp                Floating Point Operations(Single Precision)       67584       67584       67584
         10                             flop_count_hp                  Floating Point Operations(Half Precision)           0           0           0
         10                                inst_fp_64                                    FP Instructions(Double)           0           0           0
         10                                inst_fp_32                                    FP Instructions(Single)      145408      145408      145408
         10                                inst_fp_16                                      HP Instructions(Half)           0           0           0
         10                              inst_integer                                       Integer Instructions     2070528     2070528     2070528
